highway;oneway;motorroad;maxspeed;lit;bridge;tunnel;;
motorway;;;;;;;;
motorway;yes;yes;30;yes;;;;
motorway;no;no;120;no;;;;
motorway;no;no;120;no;yes;;;
motorway;no;no;;no;;yes;;
trunk;;;;;;;;
primary;;;;;;;;
secondary;;;;;;;;
tertiary;;;;;;;;
unclassified;;;;;;;;
residential;;;;;;;;
motorway_link;;;;;;;;
trunk_link;;;;;;;;
primary_link;;;;;;;;
secondary_link;;;;;;;;
tertiary_link;;;;;;;;
living_street;;;;;;;;
service;;;;;;;;
pedestrian;;;;;;;;
track;;;;;;;;
bus_guideway;;;;;;;;
escape;;;;;;;;
raceway;;;;;;;;
road;;;;;;;;
busway;;;;;;;;
footway;;;;;;;;
bridleway;;;;;;;;
steps;;;;;;;;
corridor;;;;;;;;
path;;;;;;;;
via_ferrata;;;;;;;;
